Schema Element,TotalCount
http://bio2rdf.org/drugbank_vocabulary:drug,97
http://bio2rdf.org/drugbank_vocabulary:drug-classification-category,23
http://bio2rdf.org/drugbank_vocabulary:enzyme,46
http://bio2rdf.org/drugbank_vocabulary:experimental-properties,88
http://bio2rdf.org/drugbank_vocabulary:food-interaction,29
http://bio2rdf.org/drugbank_vocabulary:form,19
http://bio2rdf.org/drugbank_vocabulary:group,5860
http://bio2rdf.org/drugbank_vocabulary:half-life,31
http://bio2rdf.org/drugbank_vocabulary:indication,143
http://bio2rdf.org/drugbank_vocabulary:ingredient,17
http://bio2rdf.org/drugbank_vocabulary:manufacturer,26
http://bio2rdf.org/drugbank_vocabulary:mechanism-of-action,28
http://bio2rdf.org/drugbank_vocabulary:mixture,26
http://bio2rdf.org/drugbank_vocabulary:patent,23
http://bio2rdf.org/drugbank_vocabulary:pharmacodynamics,23
http://bio2rdf.org/drugbank_vocabulary:product,23
http://bio2rdf.org/drugbank_vocabulary:protein-binding,23
http://bio2rdf.org/drugbank_vocabulary:route,13
http://bio2rdf.org/drugbank_vocabulary:route-of-elimination,23
http://bio2rdf.org/drugbank_vocabulary:salt,23
http://bio2rdf.org/drugbank_vocabulary:source,131
http://bio2rdf.org/drugbank_vocabulary:synonym,89
http://bio2rdf.org/drugbank_vocabulary:target,7274
http://bio2rdf.org/drugbank_vocabulary:toxicity,35
http://bio2rdf.org/drugbank_vocabulary:transporter,57
http://bio2rdf.org/drugbank_vocabulary:volume-of-distribution,23
http://bio2rdf.org/goa_vocabulary:GO-Annotation,118
http://bio2rdf.org/goa_vocabulary:go-annotation,23
http://bio2rdf.org/goa_vocabulary:target,40
http://bio2rdf.org/hgnc_vocabulary:Approved-Gene-Symbol,41
http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,103
http://bio2rdf.org/hgnc_vocabulary:Previous-Symbol,42
http://bio2rdf.org/hgnc_vocabulary:Status,1
http://bio2rdf.org/hgnc_vocabulary:has-approved-symbol,19
http://bio2rdf.org/hgnc_vocabulary:is-approved-symbol-of,19
http://bio2rdf.org/hgnc_vocabulary:previous-symbol,19
http://bio2rdf.org/hgnc_vocabulary:status,13
http://bio2rdf.org/homologene_vocabulary:Homologene-Group,43
http://bio2rdf.org/irefindex_vocabulary:Expansion-Method,129
http://bio2rdf.org/irefindex_vocabulary:Homopolymeric-Complex,133
http://bio2rdf.org/irefindex_vocabulary:Multimeric-Complex,155
http://bio2rdf.org/irefindex_vocabulary:Pairwise-Interaction,134
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Canonical-Interaction,40
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Identical-Group,145
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Identical-Interaction,149
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Similar-Group,42
http://bio2rdf.org/irefindex_vocabulary:article,261
http://bio2rdf.org/irefindex_vocabulary:canonical-group,23
http://bio2rdf.org/irefindex_vocabulary:expansion-method,211
http://bio2rdf.org/irefindex_vocabulary:interactor-a,23
http://bio2rdf.org/irefindex_vocabulary:interactor-a-canonical-group,15
http://bio2rdf.org/irefindex_vocabulary:interactor-b,19
http://bio2rdf.org/irefindex_vocabulary:interactor-b-canonical-group,15
http://bio2rdf.org/irefindex_vocabulary:interactor_a,427
http://bio2rdf.org/irefindex_vocabulary:interactor_b,283
http://bio2rdf.org/irefindex_vocabulary:taxon-sequence-identical-interaction,211
http://bio2rdf.org/irefindex_vocabulary:taxon-sequence-similar-interaction,15
http://bio2rdf.org/kegg_vocabulary:Compound,149
http://bio2rdf.org/kegg_vocabulary:Disease,668
http://bio2rdf.org/kegg_vocabulary:Drug,143
http://bio2rdf.org/kegg_vocabulary:Environ,49
http://bio2rdf.org/kegg_vocabulary:Enzyme,105
http://bio2rdf.org/kegg_vocabulary:Gene,104
http://bio2rdf.org/kegg_vocabulary:Genome,79
http://bio2rdf.org/kegg_vocabulary:Glycan,99
http://bio2rdf.org/kegg_vocabulary:Interaction,35
http://bio2rdf.org/kegg_vocabulary:Irreversible-Reaction,43
http://bio2rdf.org/kegg_vocabulary:Ko,100
http://bio2rdf.org/kegg_vocabulary:Metabolism,37
http://bio2rdf.org/kegg_vocabulary:Module,76
http://bio2rdf.org/kegg_vocabulary:Ortholog-Group,48
http://bio2rdf.org/kegg_vocabulary:Pathway,75490
http://bio2rdf.org/kegg_vocabulary:Pathway-Relation,40
http://bio2rdf.org/kegg_vocabulary:RPair-Role,45
http://bio2rdf.org/kegg_vocabulary:Rclass,58
http://bio2rdf.org/kegg_vocabulary:Reaction,131
http://bio2rdf.org/kegg_vocabulary:Reference,50
http://bio2rdf.org/kegg_vocabulary:Reversible-Reaction,40
http://bio2rdf.org/kegg_vocabulary:Rpair,67
http://bio2rdf.org/kegg_vocabulary:Target,36123
http://bio2rdf.org/kegg_vocabulary:component,29
http://bio2rdf.org/kegg_vocabulary:compound,31
http://bio2rdf.org/kegg_vocabulary:disease,27
http://bio2rdf.org/kegg_vocabulary:drug,22
http://bio2rdf.org/kegg_vocabulary:drug-target,15
http://bio2rdf.org/kegg_vocabulary:enzyme,31
http://bio2rdf.org/kegg_vocabulary:gene,24
http://bio2rdf.org/kegg_vocabulary:interaction,19
http://bio2rdf.org/kegg_vocabulary:ko-gene,15
http://bio2rdf.org/kegg_vocabulary:ko-marker,15
http://bio2rdf.org/kegg_vocabulary:ko_pathway,15
http://bio2rdf.org/kegg_vocabulary:link,26
http://bio2rdf.org/kegg_vocabulary:member,31
http://bio2rdf.org/kegg_vocabulary:metabolism,15
http://bio2rdf.org/kegg_vocabulary:module,35
http://bio2rdf.org/kegg_vocabulary:orthology,41
http://bio2rdf.org/kegg_vocabulary:pathway,51
http://bio2rdf.org/kegg_vocabulary:pathway_map,15
http://bio2rdf.org/kegg_vocabulary:product,48
http://bio2rdf.org/kegg_vocabulary:reaction,35
http://bio2rdf.org/kegg_vocabulary:reaction-center,17
http://bio2rdf.org/kegg_vocabulary:reference,35
http://bio2rdf.org/kegg_vocabulary:relatedpair,15
http://bio2rdf.org/kegg_vocabulary:rpair,19
http://bio2rdf.org/kegg_vocabulary:rpair-role,15
http://bio2rdf.org/kegg_vocabulary:same-as,43
http://bio2rdf.org/kegg_vocabulary:source,21
http://bio2rdf.org/kegg_vocabulary:str_map,15
http://bio2rdf.org/kegg_vocabulary:substrate,46
http://bio2rdf.org/kegg_vocabulary:target,47
http://bio2rdf.org/kegg_vocabulary:x-kegg,15
http://bio2rdf.org/lsr_vocabulary:Dataset,102
http://bio2rdf.org/mesh_vocabulary:Descriptor,102
http://bio2rdf.org/mesh_vocabulary:Pharmacological-Action,31
http://bio2rdf.org/mesh_vocabulary:Qualifier-Descriptor,67
http://bio2rdf.org/mesh_vocabulary:Semantic-Type,31
http://bio2rdf.org/mesh_vocabulary:Supplementary-Descriptor,68
http://bio2rdf.org/mesh_vocabulary:Tree-Entry,42
http://bio2rdf.org/mesh_vocabulary:allowable-topical-qualifier,28
http://bio2rdf.org/mesh_vocabulary:allowable-topical-qualifiers,15
http://bio2rdf.org/mesh_vocabulary:mesh-tree-number,21
http://bio2rdf.org/mesh_vocabulary:pharmacological-action,20
http://bio2rdf.org/mesh_vocabulary:semantic-type,20
http://bio2rdf.org/mgi_vocabulary:Allele,54
http://bio2rdf.org/mgi_vocabulary:Allele-Disease-Association,40
http://bio2rdf.org/mgi_vocabulary:Allele-Disease-Non-Association,42
http://bio2rdf.org/mgi_vocabulary:BAC/YAC-end,39
http://bio2rdf.org/mgi_vocabulary:Complex/Cluster/Region,55
http://bio2rdf.org/mgi_vocabulary:Cytogenetic-Marker,39
http://bio2rdf.org/mgi_vocabulary:DNA-Segment,55
http://bio2rdf.org/mgi_vocabulary:Gene,62
http://bio2rdf.org/mgi_vocabulary:Genotype,58
http://bio2rdf.org/mgi_vocabulary:Marker,69
http://bio2rdf.org/mgi_vocabulary:Other-Genome-Feature,43
http://bio2rdf.org/mgi_vocabulary:Pseudogene,57
http://bio2rdf.org/mgi_vocabulary:Strain,45
http://bio2rdf.org/mgi_vocabulary:Transgene,39
http://bio2rdf.org/mgi_vocabulary:allele,45
http://bio2rdf.org/mgi_vocabulary:marker,33
http://bio2rdf.org/ncbigene_vocabulary:Gene,162
http://bio2rdf.org/ncbigene_vocabulary:Gene-component-Association,92
http://bio2rdf.org/ncbigene_vocabulary:Gene-function-Association,91
http://bio2rdf.org/ncbigene_vocabulary:Gene-process-Association,91
http://bio2rdf.org/ncbigene_vocabulary:MiscRNA-Gene,104
http://bio2rdf.org/ncbigene_vocabulary:NcRNA-Gene,126
http://bio2rdf.org/ncbigene_vocabulary:Other-Gene,119
http://bio2rdf.org/ncbigene_vocabulary:Protein-coding-Gene,129
http://bio2rdf.org/ncbigene_vocabulary:Pseudo-Gene,127
http://bio2rdf.org/ncbigene_vocabulary:RRNA-Gene,112
http://bio2rdf.org/ncbigene_vocabulary:ScRNA-Gene,108
http://bio2rdf.org/ncbigene_vocabulary:SnRNA-Gene,112
http://bio2rdf.org/ncbigene_vocabulary:SnoRNA-Gene,112
