Schema Element,kind
http://bio2rdf.org/wormbase_vocabulary:Gene-Phenotype-Association,type
http://bio2rdf.org/wormbase_vocabulary:Gene-Variant,type
http://bio2rdf.org/wormbase_vocabulary:Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Maximal_epistasis-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Minimal_epistasis-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Mutual_enhancement-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Mutual_suppression-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Negative-Gene-Phenotype-Association,type
http://bio2rdf.org/wormbase_vocabulary:Negative_genetic-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Opposing_epistasis-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Oversuppression-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Oversuppression_enhancement-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Partial_suppression-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Partial_unilateral_suppression-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Phenotype_bias-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Physical-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Positive_genetic-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Publication,type
http://bio2rdf.org/wormbase_vocabulary:RNAi,type
http://bio2rdf.org/wormbase_vocabulary:RNAi-Knockdown-Experiment,type
http://bio2rdf.org/wormbase_vocabulary:Regulatory-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Suppression-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Synthetic-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Unilateral_enhancement-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Unilateral_suppression-Genetic-Interaction,type
http://bio2rdf.org/affymetrix_vocabulary:genechip-array,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:address,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:affiliation,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:analysis,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:arm-group,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:authority,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:baseline,predicate
