Class1,Predicate,Class2
http://bio2rdf.org/ec_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/ec_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/ec_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://bio2rdf.org/ec_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/ec_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-participant,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/ec_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-participant,http://bio2rdf.org/sgd_vocabulary:Enzyme
http://bio2rdf.org/go_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/go_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/ncbigene_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/ncbigene_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/refseq_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/refseq_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/gi_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/gi_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/pubmed_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/pubmed_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/chebi_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/chebi_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/pfam_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/pfam_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/apo_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/apo_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/coil_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/coil_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/gene3d_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/gene3d_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/hamap_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/hamap_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/panther_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/panther_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/pirsf_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/pirsf_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/prints_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/prints_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/prodom_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/prodom_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/prosite_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/prosite_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/smart_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/smart_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/so_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/so_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/superfamily_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/superfamily_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/eco_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/eco_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/goa_vocabulary:GO-Annotation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/goa_vocabulary:GO-Annotation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://bio2rdf.org/goa_vocabulary:GO-Annotation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://bio2rdf.org/goa_vocabulary:Resource
http://bio2rdf.org/goa_vocabulary:GO-Annotation,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/goa_vocabulary:GO-Annotation,http://bio2rdf.org/goa_vocabulary:evidence,http://bio2rdf.org/eco_vocabulary:Resource
http://bio2rdf.org/goa_vocabulary:GO-Annotation,http://bio2rdf.org/goa_vocabulary:go-term,http://bio2rdf.org/go_vocabulary:Resource
